invoice_id,customer_id,customer_name,amount,tax_rate,tax_amount,total_amount,date
INV-075,CUST-009,Horizon Health Services,38900,0.18,7002,45902,11-08-2026
INV-076,CUST-005,Nexus Retail Partners,16500,0.18,2970,19470,04-08-2026
INV-077,CUST-008,BlueSky Technologies,36200,0.18,6516,42716,02-08-2026
INV-078,CUST-007,Stellar Logistics,30300,0.18,5454,35754,07-08-2026
INV-079,CUST-007,Stellar Logistics,16200,0.18,2916,19116,03-08-2026
INV-080,CUST-008,BlueSky Technologies,11800,0.18,2124,13924,08-08-2026
INV-081,CUST-008,BlueSky Technologies,19000,0.18,3420,22420,06-08-2026
INV-082,CUST-008,BlueSky Technologies,26500,0.18,4770,31270,06-08-2026
INV-083,CUST-005,Nexus Retail Partners,21300,0.18,3834,25134,06-08-2026
INV-084,CUST-005,Nexus Retail Partners,28300,0.18,5094,33394,06-08-2026
INV-085,CUST-008,BlueSky Technologies,21100,0.18,3798,24898,06-08-2026
INV-086,CUST-005,Nexus Retail Partners,15600,0.18,2808,18408,08-08-2026
INV-087,CUST-005,Nexus Retail Partners,13000,0.18,2340,15340,08-08-2026
INV-088,CUST-006,Summit Consulting Group,14000,0.18,2520,16520,08-08-2026
INV-089,CUST-003,Green Energy Ltd,17700,0.18,3186,20886,09-08-2026
INV-090,CUST-004,Apex Manufacturing,29600,0.18,5328,34928,09-08-2026
INV-091,CUST-003,Green Energy Ltd,20900,0.18,3762,24662,09-08-2026
INV-092,CUST-002,Acme Global Corp,31200,0.18,5616,36816,09-08-2026
INV-093,CUST-007,Stellar Logistics,26900,0.18,4842,31742,09-08-2026
INV-094,CUST-009,Horizon Health Services,13900,0.18,2502,16402,11-08-2026
INV-095,CUST-007,Stellar Logistics,8700,0.18,1566,10266,11-08-2026
INV-096,CUST-004,Apex Manufacturing,13300,0.18,2394,15694,11-08-2026
INV-097,CUST-007,Stellar Logistics,15900,0.18,2862,18762,13-08-2026
INV-098,CUST-001,TechCorp Solutions,6500,0.18,1170,7670,13-08-2026
INV-099,CUST-002,Acme Global Corp,15700,0.18,2826,18526,13-08-2026
INV-100,CUST-003,Green Energy Ltd,6100,0.18,1098,7198,13-08-2026
INV-101,CUST-005,Nexus Retail Partners,13600,0.18,2448,16048,13-08-2026
INV-102,CUST-007,Stellar Logistics,10000,0.18,1200,11200,16-08-2026
INV-103,CUST-009,Horizon Health Services,10000,0.18,1200,11200,16-08-2026
INV-104,CUST-009,Horizon Health Services,10000,0.18,1200,11200,16-08-2026
